entity,json_key,go_field,go_type,rust_field,rust_type,status,notes
MessageRecipient,Signature,Signature,SignatureType,signature,i32,Compatible,Enum vs raw int
MessageRecipient,BodyKeyPacket,BodyKeyPacket,string,body_key_packet,Option<String>,Compatible,
MessageRecipient,AttachmentKeyPackets,AttachmentKeyPackets,map[string]string,attachment_key_packets,"Option<HashMap<String,String>>",Compatible,
MessagePackage,Addresses,Addresses,map[string]*MessageRecipient,addresses,"HashMap<String,MessageRecipient>",Compatible,Pointer values vs owned values
MessagePackage,MIMEType,MIMEType,rfc822.MIMEType,mime_type,String,Compatible,
MessagePackage,Type,Type,EncryptionScheme,package_type,i32,Compatible,Enum vs raw int
MessagePackage,Body,Body,string,body,String,Exact,
MessagePackage,BodyKey,BodyKey,*SessionKey,body_key,Option<SessionKeyInfo>,Compatible,
MessagePackage,AttachmentKeys,AttachmentKeys,map[string]*SessionKey,attachment_keys,"Option<HashMap<String,SessionKeyInfo>>",Compatible,
SessionKey,Key,Key,string,key,String,Exact,
SessionKey,Algorithm,Algorithm,string,algorithm,String,Exact,
SendDraftReq,Packages,Packages,[]*MessagePackage,packages,Vec<MessagePackage>,Compatible,Pointer slice vs owned vec
PublicKey,Flags,Flags,KeyState,flags,i32,Compatible,Enum vs raw int
PublicKey,PublicKey,PublicKey,string,public_key,String,Exact,
PublicKeysEnvelope,Keys,Keys,[]PublicKey,keys,Vec<PublicKeyInfo>,Compatible,
PublicKeysEnvelope,RecipientType,RecipientType,RecipientType,recipient_type,i32,Compatible,Enum vs raw int
EventsEnvelope,EventID,EventID,string,event_id,String,Exact,
EventsEnvelope,More,More,bool-like envelope,more,i32,Compatible,Response envelope differs but semantics align
EventsEnvelope,Refresh,Refresh,RefreshFlag,refresh,i32,Compatible,Bitflag enum vs raw int
EventsEnvelope,EventPayload,typed Event fields,Event struct members,events + typed_event_payload,Vec<Value> + TypedEventPayload,Compatible,Typed event models added with typed-first parsing and raw fallback
Constants,EncryptedOutsideScheme,EncryptedOutsideScheme,EncryptionScheme,ENCRYPTED_OUTSIDE_SCHEME,i32,Exact,
Constants,AttachedSignature,AttachedSignature,SignatureType,ATTACHED_SIGNATURE,i32,Exact,
